Season Number,Startup Name,Season Start,Season End,Episode Number,Episode Title,Anchor,Pitch Number,Industry,Business Description,Company Website,Number of Presenters,Male Presenters,Female Presenters,Transgender Presenters,Couple Presenters,Pitchers Average Age,Started in,Pitchers City,Pitchers State,Yearly Revenue,Monthly Sales,Gross Margin,Net Margin,Original Ask Amount,Original Offered Equity,Valuation Requested,Received Offer,Accepted Offer,Total Deal Amount,Total Deal Equity,Total Deal Debt,Debt Interest,Deal Valuation,Number of sharks in deal,Deal has conditions,Has Patents,Ashneer Investment Amount,Ashneer Investment Equity,Ashneer Debt Amount,Namita Investment Amount,Namita Investment Equity,Namita Debt Amount,Anupam Investment Amount,Anupam Investment Equity,Anupam Debt Amount,Vineeta Investment Amount,Vineeta Investment Equity,Vineeta Debt Amount,Aman Investment Amount,Aman Investment Equity,Aman Debt Amount,Peyush Investment Amount,Peyush Investment Equity,Peyush Debt Amount,Ghazal Investment Amount,Ghazal Investment Equity,Ghazal Debt Amount,Amit Investment Amount,Amit Investment Equity,Amit Debt Amount,Guest Investment Amount,Guest Investment Equity,Guest Debt Amount,Guest Name,Ashneer Present,Namita Present,Anupam Present,Vineeta Present,Aman Present,Peyush Present,Ghazal Present,Amit Present,Guest Present
1,BluePineFoods,20-Dec-21,04-Feb-22,1,Badlegi Business Ki Tasveer,Rannvijay Singh,1,Food,Frozen Momos,https://bluepinefoods.com/,3,2,1,,0,Middle,2016,Delhi,Delhi,95,8,,,50,5,1000,1,1,75,16,,,469,3,,,25,5.33,,,,,,,,25,5.33,,25,5.33,,,,,,,,,,,,,,,1,1,1,1,1,,,,
1,BoozScooters,20-Dec-21,04-Feb-22,1,Badlegi Business Ki Tasveer,Rannvijay Singh,2,Vehicles/Electrical Vehicles,Renting e-bike for mobility in private spaces,https://www.boozup.net/,1,1,,,0,Young,2017,Ahmedabad,Gujarat,4,0.4,,,40,15,267,1,1,40,50,,,80,2,,,20,25,,,,,,,,20,25,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,
1,HeartUpMySleeves,20-Dec-21,04-Feb-22,1,Badlegi Business Ki Tasveer,Rannvijay Singh,3,Beauty/Fashion,Detachable Sleeves,https://heartupmysleeves.com/,1,,1,,0,Young,2021,Delhi,Delhi,,2,,,25,10,250,1,1,25,30,,,83,2,,,,,,,,,12.5,15,,12.5,15,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,
1,TagzFoods,20-Dec-21,04-Feb-22,2,"Insaan, Ideas Aur Sapne",Rannvijay Singh,4,Food,Healthy Potato Chips Snacks,https://tagzfoods.com/,2,2,,,0,Middle,2019,Bangalore,Karnataka,700,,48,,70,1,7000,1,1,70,2.75,,,2545,1,,,70,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,
1,HeadAndHeart,20-Dec-21,04-Feb-22,2,"Insaan, Ideas Aur Sapne",Rannvijay Singh,5,Education,Brain Development Course,https://thehnh.in/,4,1,3,,1,Middle,2015,Patiala,Punjab,30,,,,50,5,1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,
1,Agritourism,20-Dec-21,04-Feb-22,2,"Insaan, Ideas Aur Sapne",Rannvijay Singh,6,Agriculture,Tourism,https://www.agritourism.in/,2,1,1,,1,Middle,2005,Baramati,Maharashtra,79,,,,50,5,1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,
1,qZenseLabs,20-Dec-21,04-Feb-22,3,Aam Aadmi Ke Business Ideas,Rannvijay Singh,7,Food,Food Freshness Detector,https://www.qzense.com/,2,,2,,0,Middle,2020,"Delhi,Mohali","Delhi,Punjab",25,,,,100,0.25,40000,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,
1,Peeschute,20-Dec-21,04-Feb-22,3,Aam Aadmi Ke Business Ideas,Rannvijay Singh,8,Beauty/Fashion,Disposable Urine Bag,https://www.peeschute.com/,1,1,,,0,Young,2019,Jalna,Maharashtra,100,,,,75,4,1875,1,1,75,6,,,1250,1,,,,,,,,,,,,,,,75,6,,,,,,,,,,,,,,,1,1,1,1,1,,,,
1,NOCD,20-Dec-21,04-Feb-22,3,Aam Aadmi Ke Business Ideas,Rannvijay Singh,9,Food,Energy Drink,https://www.jouleshealth.com/,2,2,,,0,Middle,2019,Bangalore,Karnataka,,20,,,50,2,2500,1,1,20,15,30,,133,1,,,,,,,,,,,,20,15,30,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,
1,CosIQ,20-Dec-21,04-Feb-22,4,Entrepreneurship Ki Wave,Rannvijay Singh,10,Beauty/Fashion,Intelligent Skincare,https://mycosiq.com/,2,1,1,,1,Middle,2021,Delhi,Delhi,,4,75,,50,7.5,667,1,1,50,25,,,200,2,,,,,,,,,25,12.5,,25,12.5,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,
1,JhaJiAchaar,20-Dec-21,04-Feb-22,4,Entrepreneurship Ki Wave,Rannvijay Singh,11,Food,Pickle,https://www.jhajistore.com/,2,,2,,0,Old,2021,Darbhanga,Bihar,,5,18,,50,10,500,1,1,56.6,5.62,,,1007,2,,,,,,28.3,2.81,,,,,28.3,2.81,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,
1,Bummer,20-Dec-21,04-Feb-22,4,Entrepreneurship Ki Wave,Rannvijay Singh,12,Beauty/Fashion,Underwear,https://bummer.in/,1,1,,,0,Young,2020,Ahmedabad,Gujarat,,15,70,,75,4,1875,1,1,75,7.5,,,1000,2,,,,,,37.5,3.75,,,,,,,,37.5,3.75,,,,,,,,,,,,,,,1,1,1,1,1,,,,
1,RevampMoto,20-Dec-21,04-Feb-22,5,Hunt For Interesting Business,Rannvijay Singh,13,Vehicles/Electrical Vehicles,E-Bike Mitra bud-e RM,https://www.revampmoto.in/,3,3,,,0,Young,,Nashik,Maharashtra,,0.01,,,100,1,10000,1,1,100,1.5,,,6667,2,,,,,,,,,50,0.75,,,,,50,0.75,,,,,,,,,,,,,,,1,1,1,1,1,,,,
1,HungryHead,20-Dec-21,04-Feb-22,5,Hunt For Interesting Business,Rannvijay Singh,14,Food,Restaurant serving 80 types of Maggi,http://www.hungryhead.co.in/,2,2,,,0,Middle,2013,Mumbai,Maharashtra,,5.5,,,50,5,1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,
1,ShrawaniEngineers,20-Dec-21,04-Feb-22,5,Hunt For Interesting Business,Rannvijay Singh,15,Beauty/Fashion,Belly Button Shaper,https://www.shrawaniengineers.com/,2,1,1,,1,Middle,2019,Nagpur,Maharashtra,50,,,,20,10,200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,
1,SkippiIcePops,20-Dec-21,04-Feb-22,6,"New Week, New Ideas",Rannvijay Singh,16,Food,Ice-Pops,https://skippi.in/,2,1,1,,1,Middle,,Hyderabad,Telangana,,6,,,45,5,900,1,1,100,15,,,667,5,,,20,3,,20,3,,20,3,,20,3,,20,3,,,,,,,,,,,,,,,1,1,1,1,1,,,,
1,Menstrupedia,20-Dec-21,04-Feb-22,6,"New Week, New Ideas",Rannvijay Singh,17,Education,Menstrual Awareness Comic,https://www.menstrupedia.com/,2,1,1,,1,Middle,,Ahmedabad,Gujarat,115,,,,50,10,500,1,1,50,20,,,250,1,,,,,,50,20,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,
1,Hecoll,20-Dec-21,04-Feb-22,6,"New Week, New Ideas",Rannvijay Singh,18,Beauty/Fashion,Pollution Resistant Fabric - Healthy Cover For All,https://hecoll.com/,1,,1,,0,Middle,2019,Hyderabad,Telangana,107,,,,100,1,10000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,
1,RaisingSuperstars,20-Dec-21,04-Feb-22,7,A Never Give Up Spirit,Rannvijay Singh,19,Education,Child Development App,https://raisingsuperstars.com/india-page,2,1,1,,1,Middle,2020,Gurgaon,Haryana,1300,,,,100,2,5000,1,1,100,4,,,2500,2,,,50,2,,,,,,,,,,,50,2,,,,,,,,,,,,,,,1,1,1,1,1,,,,
1,Torch-it,20-Dec-21,04-Feb-22,7,A Never Give Up Spirit,Rannvijay Singh,20,Education,Gadgets for visually impaired people,https://mytorchit.com/,1,1,,,0,Middle,2018,Ahmedabad,Gujarat,,1,,,75,1,7500,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,
1,Kavach,20-Dec-21,04-Feb-22,7,A Never Give Up Spirit,Rannvijay Singh,21,Education,Report bullying incidents,,2,1,1,,,Young,,Gurgaon,Haryana,,,,,5,10,50,1,1,5,10,,,50,2,,,,,,,,,2.5,5,,,,,2.5,5,,,,,,,,,,,,,,,1,1,1,1,1,,,,
1,LaKheerDeli,20-Dec-21,04-Feb-22,7,A Never Give Up Spirit,Rannvijay Singh,22,Food,Kheer in variety of flavors,https://lakheerdeli.com/,3,1,2,,0,Middle,,Pune,Maharashtra,,6,,,50,7.5,667,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,
1,BeyondSnack,20-Dec-21,04-Feb-22,8,Shark Ko Impress Karne Wale Ideas,Rannvijay Singh,23,Food,Kerala Banana Chips,https://www.beyondsnack.in/,1,1,,,0,Middle,,Thiruvananthapuram,Kerala,,20.6,51,,50,2.5,2000,1,1,50,2.5,,,2000,2,,,25,1.25,,,,,,,,,,,25,1.25,,,,,,,,,,,,,,,1,1,1,,1,1,,,
1,VivalyfInnovations,20-Dec-21,04-Feb-22,8,Shark Ko Impress Karne Wale Ideas,Rannvijay Singh,24,Medical/Health,Easy Life Prickless Diabetes Testing Machine,https://vivalyf.in/,2,1,1,,0,Young,,Hyderabad,Telangana,,,,,56,7.5,747,1,1,56,33.33,,,168,2,,,,,,,,,28,16.66,,,,,,,,28,16.66,,,,,,,,,,,,1,1,1,,1,1,,,
1,MotionBreeze,20-Dec-21,04-Feb-22,8,Shark Ko Impress Karne Wale Ideas,Rannvijay Singh,25,Vehicles/Electrical Vehicles,Smart Electric Motorcycle,https://www.motionautomotive.in/,4,4,,,0,Middle,,Vadodara,Gujarat,0,,,,30,3,1000,1,1,30,6,,,500,1,,,30,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,,
1,Altor,20-Dec-21,04-Feb-22,9,Defining Innovations,Rannvijay Singh,26,Manufacturing,Smart Helmets,https://www.altorsmarthelmet.com/,4,4,,,0,Young,2019,Kolkata,West Bengal,,,,,50,5,1000,1,1,50,7,,,714,2,,,,,,25,3.5,,,,,,,,25,3.5,,,,,,,,,,,,,,,1,1,1,,1,1,,,
1,Ariro,20-Dec-21,04-Feb-22,9,Defining Innovations,Rannvijay Singh,27,Manufacturing,Wooden Toys,https://arirotoys.com/,2,1,1,,1,Young,2020,Chennai,Tamil Nadu,300,25,50,,50,2.5,2000,1,1,50,10,,,500,2,,,,,,,,,,,,,,,25,5,,25,5,,,,,,,,,,,,1,1,1,,1,1,,,
1,KabiraHandmad,20-Dec-21,04-Feb-22,9,Defining Innovations,Rannvijay Singh,28,Food,Healthy Edible Oils dairy products spices flour,https://www.kabirafoods.com/,2,1,1,,1,Middle,,Jaipur,Rajasthan,,160,3,,100,5,2000,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,,
1,Nuutjob,20-Dec-21,04-Feb-22,10,Passion About Entrepreneurship,Rannvijay Singh,29,Beauty/Fashion,Male Intimate Hygiene deo spray,https://nuutjob.com/,2,,2,,0,Young,2021,Ahmedabad,Gujarat,,0.002,70,,25,5,500,1,1,25,20,,,125,3,,,,,,8.33,6.66,,,,,,,,8.33,6.66,,8.33,6.66,,,,,,,,,,,,1,1,1,,1,1,,,
1,Meatyour,20-Dec-21,04-Feb-22,10,Passion About Entrepreneurship,Rannvijay Singh,30,Food,Eggs,https://meatyour.com/,3,3,,,0,Middle,,Pune,Maharashtra,130,2.8,30,,30,5,600,1,1,30,20,,,150,3,,,,,,,,,10,6.66,,,,,10,6.66,,10,6.66,,,,,,,,,,,,1,1,1,,1,1,,,
1,EventBeep,20-Dec-21,04-Feb-22,10,Passion About Entrepreneurship,Rannvijay Singh,31,Education,Student Community App EdTech,https://www.eventbeep.com/,3,2,1,,,Young,,Pune,Maharashtra,,,,,30,2,1500,1,1,30,3,,,1000,3,,,10,1,,,,,,,,,,,10,1,,10,1,,,,,,,,,,,,1,1,1,,1,1,,,
1,Gopal's56,20-Dec-21,04-Feb-22,11,Investment Paane Ka Sapna,Rannvijay Singh,32,Food,Fiber Ice Cream,https://www.gopals56.in/,1,1,,,0,Middle,2014,Delhi,Delhi,80,33,,,30000,25,120000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,,
1,ARRCOATSurfaceTextures,20-Dec-21,04-Feb-22,11,Investment Paane Ka Sapna,Rannvijay Singh,33,Manufacturing,Wall Building Surface Textures,https://www.arrcoat.com/,3,3,,,0,Middle,2019,Delhi,Delhi,,6,,,50,5,1000,1,1,50,15,,,333,1,,,,,,,,,50,15,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,,
1,Farda,20-Dec-21,04-Feb-22,11,Investment Paane Ka Sapna,Rannvijay Singh,34,Beauty/Fashion,Customised Streetwear,https://fardaclothing.com/,2,1,1,,0,Young,2021,Nagpur,Maharashtra,,0.32,115,,30,10,300,1,1,30,20,,,150,2,,,,,,15,10,,,,,,,,15,10,,,,,,,,,,,,,,,1,1,1,,1,1,,,
1,Auli,20-Dec-21,04-Feb-22,12,Ek Idea Aur Uske Do Sides,Rannvijay Singh,35,Beauty/Fashion,Ayurvedic Products Skincare Lifestyle,https://aulilifestyle.com/,1,,1,,0,Middle,,Kolkata,West Bengal,,16,80,,75,4,1875,1,1,75,15,,,500,1,,,,,,75,15,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,,
1,SweeDesi,20-Dec-21,04-Feb-22,12,Ek Idea Aur Uske Do Sides,Rannvijay Singh,36,Food,Indian Sweets Online,https://www.sweedesi.com/,2,1,1,,1,Middle,,Pune,Maharashtra,,,,,40,3,1333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,,
1,LOKA,20-Dec-21,04-Feb-22,12,Ek Idea Aur Uske Do Sides,Rannvijay Singh,37,Technology/Software,Metaverse App,https://www.lokaworld.app/,1,1,,,0,Young,,Delhi,Delhi,,,,,40,5,800,1,1,40,24,,,167,3,,,,,,,,,13.33,8,,,,,13.33,8,,13.33,8,,,,,,,,,,,,1,1,1,,1,1,,,
1,Annie,20-Dec-21,04-Feb-22,13,Ideas By Young Entrepreneurs,Rannvijay Singh,38,Education,Thinkerbell labs Braille Literary Device,https://www.thinkerbelllabs.com/annie,4,3,1,,1,Young,2016,Bangalore,Karnataka,,4,,,30,0.5,6000,1,1,105,3,,,3500,3,,,,,,35,1,,35,1,,,,,,,,35,1,,,,,,,,,,,,1,1,1,,1,1,,,
1,Carragreen,20-Dec-21,04-Feb-22,13,Ideas By Young Entrepreneurs,Rannvijay Singh,39,Manufacturing,Eco-Friendly boxes,https://carragreen.com/,2,,2,,0,Middle,,Indore,Madhya Pradesh,,,,,50,10,500,1,1,50,20,,,250,2,,,,,,,,,25,10,,,,,,,,25,10,,,,,,,,,,,,1,1,1,,1,1,,,
1,TheYarnBazaar,20-Dec-21,04-Feb-22,13,Ideas By Young Entrepreneurs,Rannvijay Singh,40,Manufacturing,Yarn-Trading App Online Marketplace for Yarn,https://theyarnbazaar.com/,1,1,,,0,Middle,,Mumbai,Maharashtra,180,,,,50,2,2500,1,1,100,10,,,1000,4,,,25,2.5,,,,,25,2.5,,,,,25,2.5,,25,2.5,,,,,,,,,,,,1,1,1,,1,1,,,
1,TheRenalProject,20-Dec-21,04-Feb-22,14,Naye Aur Nayab Pitchers,Rannvijay Singh,41,Medical/Health,Home Dialysis Treatment,https://www.therenalproject.com/,1,1,,,0,Middle,2019,Mumbai,Maharashtra,90,,,,100,3,3333,1,1,100,6,,,1667,2,,,,,,50,3,,,,,,,,50,3,,,,,,,,,,,,,,,1,1,1,,1,1,,,
1,MorrikoPureFoods,20-Dec-21,04-Feb-22,14,Naye Aur Nayab Pitchers,Rannvijay Singh,42,Food,Healthy Food Snacks Kamdhenu foods,https://morrikopurefoods.com/,3,2,1,,0,Middle,2018,Valsad,Gujarat,,16,,,100,3,3333,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,,
1,GoodGoodPiggy,20-Dec-21,04-Feb-22,14,Naye Aur Nayab Pitchers,Rannvijay Singh,43,Technology/Software,Digital Piggy Bank,https://goodgoodpiggy.com/,2,,2,,0,Young,,Delhi,Delhi,0,,,,45,5,900,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,,
1,HammerLifestyle,20-Dec-21,04-Feb-22,15,It's Time To Change,Rannvijay Singh,44,Electronics,Smart Audio Products,https://hammeronline.in/,3,3,,,0,Young,,Panipat,Haryana,1000,,,,30,3,1000,1,1,100,40,,,250,1,,,,,,,,,,,,,,,100,40,,,,,,,,,,,,,,,1,1,1,,1,1,,,
1,PNT,20-Dec-21,04-Feb-22,15,It's Time To Change,Rannvijay Singh,45,Technology/Software,Robotics and Automation Solutions,https://pntsolutions.in/,2,2,,,0,Young,2021,Mumbai,Maharashtra,,,,,50,4,1250,1,1,25,25,25,,100,1,,,,,,,,,,,,,,,,,,25,25,25,,,,,,,,,,,1,1,1,,1,1,,,
1,Cocofit,20-Dec-21,04-Feb-22,15,It's Time To Change,Rannvijay Singh,46,Food,Coconut based beverage franchise,https://www.cocofit.in/,3,3,,,0,Middle,2019,Hyderabad,Telangana,100,,95,,0.00005,5,0,1,1,0.00005,5,,,0,3,,,,,,0.000016,1.666,,0.000016,1.666,,,,,0.000016,1.666,,,,,,,,,,,,,,,1,1,1,,1,1,,,
1,BambooIndia,20-Dec-21,04-Feb-22,16,Winning The Sharks Trust,Rannvijay Singh,47,Manufacturing,Bamboo Products,https://www.bambooindia.com/,2,1,1,,1,Middle,2016,Pune,Maharashtra,,20,,,80,4,2000,1,1,50,3.5,30,,1429,2,,,25,1.75,15,,,,25,1.75,15,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,,
1,FlyingFur,20-Dec-21,04-Feb-22,16,Winning The Sharks Trust,Rannvijay Singh,48,Animal/Pets,Dog pets Hygiene,https://flyingfur.in/,3,2,1,,0,Middle,,Delhi,Delhi,,,,,75,7,1071,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,,
1,BeyondWater,20-Dec-21,04-Feb-22,16,Winning The Sharks Trust,Rannvijay Singh,49,Food,Liquid Water Enhancer,https://drinkbeyond.co.in/,2,1,1,,0,Young,2020,Kolkata,West Bengal,,10,,,75,4,1875,1,1,75,15,,,500,2,,,,,,37.5,7.5,,,,,,,,37.5,7.5,,,,,,,,,,,,,,,1,1,1,,1,1,,,
1,Let'sTry,20-Dec-21,04-Feb-22,16,Winning The Sharks Trust,Rannvijay Singh,50,Food,Healthy Snacks,https://www.letstryfoods.com/,4,1,3,,1,Middle,2017,Delhi,Delhi,,3,55,,45,2,2250,1,1,45,12,,,375,2,,,,,,,,,22.5,6,,,,,22.5,6,,,,,,,,,,,,,,,1,1,1,,1,1,,,
1,FindYourKicksIndia,20-Dec-21,04-Feb-22,17,A Wave Of Startups,Rannvijay Singh,51,Beauty/Fashion,Sneaker Resale,https://findyourkicksindia.co/,3,3,,,0,Young,2021,Ludhiana,Punjab,,3.5,,,50,10,500,1,1,50,25,,,200,5,,,10,5,,10,5,,10,5,,,,,10,5,,10,5,,,,,,,,,,,,1,1,1,,1,1,,,
1,AasVidyalaya,20-Dec-21,04-Feb-22,17,A Wave Of Startups,Rannvijay Singh,52,Education,EdTech App,https://www.aasvidyalaya.com/,2,1,1,,1,Middle,2019,Mumbai,Maharashtra,150,,,,150,3,5000,1,1,150,15,,,1000,3,,,50,5,,50,5,,,,,,,,,,,50,5,,,,,,,,,,,,1,1,1,,1,1,,,
1,Outbox,20-Dec-21,04-Feb-22,17,A Wave Of Startups,Rannvijay Singh,53,Services,Premium Surprise-Planning,https://www.outboxsurprises.com/,2,1,1,,1,Young,2017,Kolkata,West Bengal,110,,,,50,5,1000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,,
1,RoadBounce,20-Dec-21,04-Feb-22,17,A Wave Of Startups,Rannvijay Singh,54,Technology/Software,Pothole Detection Software and Data,https://www.roadbounce.com/,1,1,,,0,Middle,2016,Pune,Maharashtra,250,,,,80,10,800,1,1,80,20,,,400,1,,,,,,,,,,,,,,,,,,80,20,,,,,,,,,,,,1,1,1,,1,1,,,
1,Mommy'sKitchen,20-Dec-21,04-Feb-22,18,Investing In Profitable Businesses,Rannvijay Singh,55,Food,Thin Crust Pizza,https://mommys.kitchen/,3,2,1,,0,Middle,2016,Mumbai,Maharashtra,,4.5,,,90,3,3000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,,
1,IndiaHempandCo,20-Dec-21,04-Feb-22,18,Investing In Profitable Businesses,Rannvijay Singh,56,Food,Hemp Food Products,https://www.indiahempandco.com/,1,,1,,0,Middle,2019,Bangalore,Karnataka,,2,,,50,4,1250,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,,
1,Otua,20-Dec-21,04-Feb-22,18,Investing In Profitable Businesses,Rannvijay Singh,57,Vehicles/Electrical Vehicles,Electric Auto Vehicle Dandera,https://www.danderaelectric.com/,2,2,,,0,Middle,2018,Gurgaon,Haryana,,,,,100,1,10000,1,1,1,1,99,,100,1,,,1,1,99,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,,
1,Anthyesti,20-Dec-21,04-Feb-22,18,Investing In Profitable Businesses,Rannvijay Singh,58,Services,Funeral Service the last rites,https://anthyesti.com/,1,,1,,0,Middle,2015,Bangalore,Karnataka,116,,50,,50,2.5,2000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,,
1,Ethik,20-Dec-21,04-Feb-22,19,Forming An Idea And Bagging A Deal,Rannvijay Singh,59,Manufacturing,Leather-free Shoes,https://www.ethik.in/,2,2,,,0,Middle,2012,Bangalore,Karnataka,,1,,,15,5,300,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,,,
